good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Komşumuz bize taze sebze getirdi.,Komşumuz bizi taze sebze getirdi.,bize,bizi,getirdi,argument_structure,ditransitive
Arkadaşım bana yeni bir komediyi önerdi.,Arkadaşım benle yeni bir komediyi önerdi.,bana,benle,önerdi,argument_structure,ditransitive
Yıllardır kendini sadece okuluna adamış.,Yıllardır kendinden sadece okuluna adamış.,kendini,kendinden,adamış,argument_structure,ditransitive
Antrenör takıma farklı operasyonlar öğretti.,Antrenör takımı farklı operasyonlar öğretti.,takıma,takımı,öğretti,argument_structure,ditransitive
Dün gece oğlanı apar topar morga götürdük.,Dün gece oğlana apar topar morga götürdük.,oğlanı,oğlana,götürdük,argument_structure,ditransitive
Yönetmen oyunculara karakterlerini dağıttı.,Yönetmen oyuncuları karakterlerini dağıttı.,oyunculara,oyuncuları,dağıttı,argument_structure,ditransitive
Kasap bana en güzel balıklardan ayırdı.,Kasap beni en güzel balıklardan ayırdı.,bana,benle,ayırdı,argument_structure,ditransitive
Mahalledeki çocuklar binanın camına yine taş atıyor.,Mahalledeki çocuklar binanın camını yine taş atıyor.,camına,camını,atıyor,argument_structure,ditransitive
Dün şekeri ben aldığım için annem bakkala kardeşimi yolladı.,Dün şekeri ben aldığım için annem bakkalda kardeşimi yolladı.,bakkala,bakkalda,yolladı,argument_structure,ditransitive
Manav bize en lezzetli minerallardan ayırdı.,Manav bizi en lezzetli minerallardan ayırdı.,bize,bizi,ayırdı,argument_structure,ditransitive
Arkadaşım bana yılbaşı kutusu aldı.,Arkadaşım beni yılbaşı kutusu aldı.,bana,beni,aldı,argument_structure,ditransitive
Yönetmen oyunculara rollerini dağıttı.,Yönetmen oyuncuları rollerini dağıttı.,oyunculara,oyuncuları,dağıttı,argument_structure,ditransitive
Kasap bana en güzel etlerden ayırdı.,Kasap beni en güzel etlerden ayırdı.,bana,benle,ayırdı,argument_structure,ditransitive
Asistanı belgeleri ofisine getirdi.,Asistanı belgelerle ofisine getirdi.,belgeleri,belgelerle,getirdi,argument_structure,ditransitive
Anne bebeğine sütü biberonla verdi.,Anne bebeğini sütü biberonla verdi.,bebeğine,bebeğini,verdi,argument_structure,ditransitive
Kız ablam köpeği komşuya götürdü.,Kız ablam köpeğe komşuya götürdü.,köpeği,köpeğe,götürdü,argument_structure,ditransitive
Dileklerini yazdığı kağıdı bir ağacın takımına bağladı.,Dileklerini yazdığı kağıda bir ağacın takımına bağladı.,kağıdı,kağıda,bağladı,argument_structure,ditransitive
Şair dinleyicilerine yeni şiir kitabını tanıttı.,Şair dinleyicilerini yeni şiir kitabını tanıttı.,dinleyicilerine,dinleyicilerini,tanıttı,argument_structure,ditransitive
Küçük çocuk teyzesine mağazadaki aleti gösterdi.,Küçük çocuk teyzesini mağazadaki aleti gösterdi.,teyzesine,teyzesini,gösterdi,argument_structure,ditransitive
Küçükken ekmeğimi hep kola banardım.,Küçükken ekmeğimde hep kola banardım.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Arkadaşım bana yeni bir müzik önerdi.,Arkadaşım beni yeni bir müzik önerdi.,bana,beni,önerdi,argument_structure,ditransitive
Annem pastanın üstüne biraz bal koyar.,Annem pastanın üstünü biraz bal koyar.,üstüne,üstünü,koyar,argument_structure,ditransitive
Mahalledeki çocuklar dükkanın camına yine top atıyor.,Mahalledeki çocuklar dükkanın camını yine top atıyor.,camına,camını,atıyor,argument_structure,ditransitive
Arkadaşım bana yeni bir film önerdi.,Arkadaşım beni yeni bir film önerdi.,bana,beni,önerdi,argument_structure,ditransitive
Ayakkabılarını çıkarıp paltosunu girişteki kapıya astı.,Ayakkabılarını çıkarıp paltosuna girişteki kapıya astı.,paltosunu,paltosuna,astı,argument_structure,ditransitive
Yanlış kararlar halkı isyansızlığa mahkum etti.,Yanlış kararlar halkla isyansızlığa mahkum etti.,halkı,halkla,mahkum etti,argument_structure,ditransitive
Yazar okurlarına yeni dizini tanıttı.,Yazar okurlarını yeni dizini tanıttı.,okurlarına,okurlarını,tanıttı,argument_structure,ditransitive
Üzerime koca bir bardak mamayı döktüm.,Üzerimde koca bir bardak mamayı döktüm.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Yıllardır kendini sadece isine adamış.,Yıllardır kendinden sadece isine adamış.,kendini,kendinden,adamış,argument_structure,ditransitive
Öğretmen öğrencilere yeni konuyu anlattı.,Öğretmen öğrencileri yeni konuyu anlattı.,öğrencilere,öğrencileri,anlattı,argument_structure,ditransitive
Arkadaşım bana yeni bir dizi önerdi.,Arkadaşım benle yeni bir dizi önerdi.,bana,benle,önerdi,argument_structure,ditransitive
Arkadaşım bana bale bileti aldı.,Arkadaşım beni bale bileti aldı.,bana,beni,aldı,argument_structure,ditransitive
Anne bebeğine sütü tıpla verdi.,Anne bebeğini sütü tıpla verdi.,bebeğine,bebeğini,verdi,argument_structure,ditransitive
Arkadaşım bana en son olayları verdi.,Arkadaşım beni en son olayları verdi.,bana,beni,verdi,argument_structure,ditransitive
Teyzem oyuncakları çocuklara dağıttı.,Teyzem oyuncaklara çocuklara dağıttı.,oyuncakları,oyuncaklara,dağıttı,argument_structure,ditransitive
Öğretmen öğrencilere yeni filmi öğretti.,Öğretmen öğrencileri yeni filmi öğretti.,öğrencilere,öğrencileri,öğretti,argument_structure,ditransitive
Antrenör takıma farklı pozisyonlar öğretti.,Antrenör takımı farklı pozisyonlar öğretti.,takıma,takımı,öğretti,argument_structure,ditransitive
Kılçıklarını temizlediğiniz mezgiti galeta suyuna bulayın.,Kılçıklarını temizlediğiniz mezgite galeta suyuna bulayın.,mezgiti,mezgite,bulayın,argument_structure,ditransitive
Şirket personeline yeni ortaklıklar verdi.,Şirket personelini yeni ortaklıklar verdi.,personeline,personelini,verdi,argument_structure,ditransitive
Şirket personeline yeni faaliyetler verdi.,Şirket personelini yeni faaliyetler verdi.,personeline,personelini,verdi,argument_structure,ditransitive
Çocuk babasına başka bir şiir okudu.,Çocuk babasını başka bir şiir okudu.,babasına,babasını,okudu,argument_structure,ditransitive
Anlaşılan kız ablasına hediyeyi hiç beklemeden verdi.,Anlaşılan kız ablasından hediyeyi hiç beklemeden verdi.,ablasına,ablasından,verdi,argument_structure,ditransitive
Gelin altın bileziği kızına hediye etti.,Gelin altın bilezikle kızına hediye etti.,bileziği,bilezikle,hediye etti,argument_structure,ditransitive
Şirket personeline yeni etkinler verdi.,Şirket personelini yeni etkinler verdi.,personeline,personelini,verdi,argument_structure,ditransitive
Annem kekin içine biraz zencefil koyar.,Annem kekin içini biraz zencefil koyar.,içine,içini,koyar,argument_structure,ditransitive
Antrenör sporculara antrenman filmi hazırladı.,Antrenör sporcuları antrenman filmi hazırladı.,sporculara,sporcuları,hazırladı,argument_structure,ditransitive
Ayakkabılarını çıkarıp şapkasını girişteki tavaya astı.,Ayakkabılarını çıkarıp şapkasına girişteki tavaya astı.,şapkasını,şapkasına,astı,argument_structure,ditransitive
Gelin gerdanlığı karısına hediye etti.,Gelin gerdanlığa karısına hediye etti.,gerdanlığı,gerdanlığa,hediye etti,argument_structure,ditransitive
Belli ki babam yeni saatini bana verdi.,Belli ki babam yeni saatine bana verdi.,saatini,saatine,verdi,argument_structure,ditransitive
Dün sütü ben aldığım için annem markete annemi yolladı.,Dün sütü ben aldığım için annem markette annemi yolladı.,markete,markette,yolladı,argument_structure,ditransitive
Dedem bana devrimci anılarını anlattı.,Dedem beni devrimci anılarını anlattı.,bana,beni,anlattı,argument_structure,ditransitive
Kuzenim kediyi binaya götürdü.,Kuzenim kediye binaya götürdü.,kediyi,kediye,götürdü,argument_structure,ditransitive
Gelin gerdanlığı kayınvalidesine hediye etti.,Gelin gerdanlığa kayınvalidesine hediye etti.,gerdanlığı,gerdanlığa,hediye etti,argument_structure,ditransitive
Mahalledeki kızlar dükkanın camına yine top atıyor.,Mahalledeki kızlar dükkanın camını yine top atıyor.,camına,camını,atıyor,argument_structure,ditransitive
Arkadaşım bana en son videoları verdi.,Arkadaşım beni en son videoları verdi.,bana,beni,verdi,argument_structure,ditransitive
Kız esim kediyi veterinere götürdü.,Kız esim kediye veterinere götürdü.,kediyi,kediye,götürdü,argument_structure,ditransitive
Dün gece oğlanı apar topar acile götürdük.,Dün gece oğlana apar topar acile götürdük.,oğlanı,oğlana,götürdük,argument_structure,ditransitive
Kuzenim köpeği yola götürdü.,Kuzenim köpeğe yola götürdü.,köpeği,köpeğe,götürdü,argument_structure,ditransitive
Arkadaşım bana yeni bir filmi önerdi.,Arkadaşım beni yeni bir filmi önerdi.,bana,beni,önerdi,argument_structure,ditransitive
Annem pastanın üstüne biraz sut koyar.,Annem pastanın üstünü biraz sut koyar.,üstüne,üstünü,koyar,argument_structure,ditransitive
Ayakkabılarını çıkarıp paltosunu girişteki cama astı.,Ayakkabılarını çıkarıp paltosuna girişteki cama astı.,paltosunu,paltosuna,astı,argument_structure,ditransitive
Takı töreninde babanın yakasına çeyrek altın taktılar.,Takı töreninde babanın yakasını çeyrek altın taktılar.,yakasına,yakasını,taktılar,argument_structure,ditransitive
Arkadaşım bana son gelişmeleri anlattı.,Arkadaşım beni son gelişmeleri anlattı.,bana,beni,anlattı,argument_structure,ditransitive
Halam bana eldiven hediye etti.,Halam beni eldiven hediye etti.,bana,beni,hediye etti,argument_structure,ditransitive
Annem kekin içine biraz karanfil koyar.,Annem kekin içini biraz karanfil koyar.,içine,içini,koyar,argument_structure,ditransitive
Doğum günüm diye barmen bana tekila ısmarladı.,Doğum günüm diye barmen beni tekila ısmarladı.,bana,beni,ısmarladı,argument_structure,ditransitive
Dileklerini yazdığı kartı bir ağacın dalına bağladı.,Dileklerini yazdığı karta bir ağacın dalına bağladı.,kartı,karta,bağladı,argument_structure,ditransitive
Oğlum topu ailene ödünç verdi.,Oğlum topla ailene ödünç verdi.,topu,topla,ödünç verdi,argument_structure,ditransitive
Babam bugün parkta ortaokul öğretmenime rastlamış.,Babam bugün parkı ortaokul öğretmenime rastlamış.,parkta,parkı,rastlamış,argument_structure,ditransitive
Arkadaşım bana yılbaşı ikramiyesi aldı.,Arkadaşım beni yılbaşı ikramiyesi aldı.,bana,beni,aldı,argument_structure,ditransitive
Gelin gerdanlığı kocasına hediye etti.,Gelin gerdanlığa kocasına hediye etti.,gerdanlığı,gerdanlığa,hediye etti,argument_structure,ditransitive
Dün ekmeği ben aldığım için annem bakkala annemi yolladı.,Dün ekmeği ben aldığım için annem bakkalda annemi yolladı.,bakkala,bakkalda,yolladı,argument_structure,ditransitive
Halam bana mont hediye etti.,Halam beni mont hediye etti.,bana,beni,hediye etti,argument_structure,ditransitive
Dün gece oğlanı apar topar servise götürdük.,Dün gece oğlana apar topar servise götürdük.,oğlanı,oğlana,götürdük,argument_structure,ditransitive
Babam yeni telefonunu bana verdi.,Babam yeni telefonuna bana verdi.,telefonunu,telefonuna,verdi,argument_structure,ditransitive
Doğum günüm diye barmen bana malt ısmarladı.,Doğum günüm diye barmen beni malt ısmarladı.,bana,beni,ısmarladı,argument_structure,ditransitive
Öğretmen öğrencilere yeni olayı anlattı.,Öğretmen öğrencileri yeni olayı anlattı.,öğrencilere,öğrencileri,anlattı,argument_structure,ditransitive
Arkadaşım bana en son soruları verdi.,Arkadaşım beni en son soruları verdi.,bana,beni,verdi,argument_structure,ditransitive
Kılçıklarını temizlediğiniz balığı pane suyuna bulayın.,Kılçıklarını temizlediğiniz balığa pane suyuna bulayın.,balığı,balığa,bulayın,argument_structure,ditransitive
Yıllardır kendini sadece koleksiyonuna adamış.,Yıllardır kendinden sadece koleksiyonuna adamış.,kendini,kendinden,adamış,argument_structure,ditransitive
Evlerinin bahçesine zeytin ağacı dikmişler.,Evlerinin bahçesinden zeytin ağacı dikmişler.,bahçesine,bahçesinden,dikmişler,argument_structure,ditransitive
Dün şekeri ben aldığım için annem markete kardeşimi yolladı.,Dün şekeri ben aldığım için annem markette kardeşimi yolladı.,markete,markette,yolladı,argument_structure,ditransitive
Kuzenim köpeği parka götürdü.,Kuzenim köpeğe parka götürdü.,köpeği,köpeğe,götürdü,argument_structure,ditransitive
Manav bize en taze maddelerden ayırdı.,Manav bizi en taze maddelerden ayırdı.,bize,bizi,ayırdı,argument_structure,ditransitive
Takı partinde damadın yakasına çeyrek altın taktılar.,Takı partinde damadın yakasını çeyrek altın taktılar.,yakasına,yakasını,taktılar,argument_structure,ditransitive
Komşumuz bize taze meyve getirdi.,Komşumuz bizi taze meyve getirdi.,bize,bizi,getirdi,argument_structure,ditransitive
Şirket çalışanlarına yeni atalar verdi.,Şirket çalışanlarını yeni atalar verdi.,çalışanlarına,çalışanlarını,verdi,argument_structure,ditransitive
Babam bugün parkta meslek öğretmenime rastlamış.,Babam bugün parkı meslek öğretmenime rastlamış.,parkta,parkı,rastlamış,argument_structure,ditransitive
Arkadaşım bana en son bilgileri verdi.,Arkadaşım beni en son bilgileri verdi.,bana,beni,verdi,argument_structure,ditransitive
Kasap bana en iyi plastikten ayırdı.,Kasap beni en iyi plastikten ayırdı.,bana,beni,ayırdı,argument_structure,ditransitive
Çocuk babasına en sevdiği telefonu verdi.,Çocuk babasını en sevdiği telefonu verdi.,babasına,babasını,verdi,argument_structure,ditransitive
Komşumuz bize taze domates getirdi.,Komşumuz bizi taze domates getirdi.,bize,bizi,getirdi,argument_structure,ditransitive
Yanlış kararlar halkı krizsizliğe mahkum etti.,Yanlış kararlar halkla krizsizliğe mahkum etti.,halkı,halkla,mahkum etti,argument_structure,ditransitive
Anlaşılıyor ki belki size bu konudaki düşüncelerinden bahsetmiştir.,Anlaşılıyor ki belki sizi bu konudaki düşüncelerinden bahsetmiştir.,size,sizi,bahsetmiştir,argument_structure,ditransitive
Küçükken ekmeğimi hep tencereye banardım.,Küçükken ekmeğimde hep tencereye banardım.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Anne bebeğine sütü sutla verdi.,Anne bebeğini sütü sutla verdi.,bebeğine,bebeğini,verdi,argument_structure,ditransitive
Evlerinin arka bahçesine portakal ağacı dikmişler.,Evlerinin arka bahçesinden portakal ağacı dikmişler.,arka bahçesine,arka bahçesinden,dikmişler,argument_structure,ditransitive
Arkadaşım bana yeni bir rolü önerdi.,Arkadaşım benle yeni bir rolü önerdi.,bana,benle,önerdi,argument_structure,ditransitive
Şirket çalışanlarına yeni hizmetler verdi.,Şirket çalışanlarını yeni hizmetler verdi.,çalışanlarına,çalışanlarını,verdi,argument_structure,ditransitive
Teyzem oyuncakları çocuklara dağıttı.,Teyzem oyuncaklara çocuklara dağıttı.,oyuncakları,oyuncaklara,dağıttı,argument_structure,ditransitive
Şair dinleyicilerine yeni tiyatro kitabını tanıttı.,Şair dinleyicilerini yeni tiyatro kitabını tanıttı.,dinleyicilerine,dinleyicilerini,tanıttı,argument_structure,ditransitive
Arkadaşım bana yeni bir dvd önerdi.,Arkadaşım beni yeni bir dvd önerdi.,bana,beni,önerdi,argument_structure,ditransitive
Arkadaşım bana yeni bir makale önerdi.,Arkadaşım beni yeni bir makale önerdi.,bana,beni,önerdi,argument_structure,ditransitive
Belki sana bu konudaki eserlerinden bahsetmiştir.,Belki seni bu konudaki eserlerinden bahsetmiştir.,sana,seni,bahsetmiştir,argument_structure,ditransitive
Garson misafirlere suları servis etti.,Garson misafirleri suları servis etti.,misafirlere,misafirleri,servis etti,argument_structure,ditransitive
Belli ki dedem bana eski hikayeler anlattı.,Belli ki dedem beni eski hikayeler anlattı.,bana,beni,anlattı,argument_structure,ditransitive
Antrenör sporculara antrenman dersi hazırladı.,Antrenör sporcuları antrenman dersi hazırladı.,sporculara,sporcuları,hazırladı,argument_structure,ditransitive
Demek ki babam yeni telefonunu bana verdi.,Demek ki babam yeni telefonuna bana verdi.,telefonunu,telefonuna,verdi,argument_structure,ditransitive
Yanlış ilkeler halkı yoksulluğa mahkum etti.,Yanlış ilkeler halkla yoksulluğa mahkum etti.,halkı,halkla,mahkum etti,argument_structure,ditransitive
Arkadaşım bana sergi bileti aldı.,Arkadaşım beni sergi bileti aldı.,bana,beni,aldı,argument_structure,ditransitive
Ayakkabılarını çıkarıp şapkasını girişteki duvara astı.,Ayakkabılarını çıkarıp şapkasına girişteki duvara astı.,şapkasını,şapkasına,astı,argument_structure,ditransitive
Arkadaşım bana yeni bir klip önerdi.,Arkadaşım benle yeni bir klip önerdi.,bana,benle,önerdi,argument_structure,ditransitive
Antrenör sporculara yeni teknikler öğretti.,Antrenör sporcuları yeni teknikler öğretti.,sporculara,sporcuları,öğretti,argument_structure,ditransitive
Küçükken ekmeğimi hep salatanın havana banardım.,Küçükken ekmeğimde hep salatanın havana banardım.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Dün mamayı ben aldığım için annem markete kardeşimi yolladı.,Dün mamayı ben aldığım için annem markette kardeşimi yolladı.,markete,markette,yolladı,argument_structure,ditransitive
Antrenör takıma farklı taktikler öğretti.,Antrenör takımı farklı taktikler öğretti.,takıma,takımı,öğretti,argument_structure,ditransitive
Anne bebeğine sütü mamla verdi.,Anne bebeğini sütü mamla verdi.,bebeğine,bebeğini,verdi,argument_structure,ditransitive
Mahalledeki insanlar dükkanın camına yine top atıyor.,Mahalledeki insanlar dükkanın camını yine top atıyor.,camına,camını,atıyor,argument_structure,ditransitive
Şirket çalışanlarına yeni eylemler verdi.,Şirket çalışanlarını yeni eylemler verdi.,çalışanlarına,çalışanlarını,verdi,argument_structure,ditransitive
Küçükken ekmeğimi hep suya banardım.,Küçükken ekmeğimde hep suya banardım.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Bu ödülü düzen bozan kızlara ithaf ediyorum.,Bu ödüle düzen bozan kızlara ithaf ediyorum.,ödülü,ödüle,ithaf ediyorum,argument_structure,ditransitive
Üzerime koca bir bardak kahveyi döktüm.,Üzerimde koca bir bardak kahveyi döktüm.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Dedem torunlarına makaleler anlattı.,Dedem torunlarını makaleler anlattı.,torunlarına,torunlarını,anlattı,argument_structure,ditransitive
Bu sergiyi neşesini kaybetmeyen bebeklere ithaf ediyorum.,Bu sergiye neşesini kaybetmeyen bebeklere ithaf ediyorum.,sergiyi,sergiye,ithaf ediyorum,argument_structure,ditransitive
Kuzenim köpeği bahçeye götürdü.,Kuzenim köpeğe bahçeye götürdü.,köpeği,köpeğe,götürdü,argument_structure,ditransitive
Belki size bu konudaki hayallerinden bahsetmiştir.,Belki sizi bu konudaki hayallerinden bahsetmiştir.,size,sizi,bahsetmiştir,argument_structure,ditransitive
Öyle görünüyor ki dedem bana eski hikayeler anlattı.,Öyle görünüyor ki dedem beni eski hikayeler anlattı.,bana,beni,anlattı,argument_structure,ditransitive
Anne bebeğine sütü emzikle verdi.,Anne bebeğini sütü emzikle verdi.,bebeğine,bebeğini,verdi,argument_structure,ditransitive
Gelin altın bileziği sevgisine hediye etti.,Gelin altın bilezikle sevgisine hediye etti.,bileziği,bilezikle,hediye etti,argument_structure,ditransitive
Küçük çocuk annesine vitrindeki aleti gösterdi.,Küçük çocuk annesini vitrindeki aleti gösterdi.,annesine,annesini,gösterdi,argument_structure,ditransitive
Küçük çocuk teyzesine mağazadaki kıyafeti gösterdi.,Küçük çocuk teyzesini mağazadaki kıyafeti gösterdi.,teyzesine,teyzesini,gösterdi,argument_structure,ditransitive
Üzerime koca bir set kahveyi döktüm.,Üzerimde koca bir set kahveyi döktüm.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Çocuk dedesine en sevdiği kitabı verdi.,Çocuk dedesini en sevdiği kitabı verdi.,dedesine,dedesini,verdi,argument_structure,ditransitive
Öğretmen öğrencilere yeni konuyu anlattı.,Öğretmen öğrencileri yeni konuyu anlattı.,öğrencilere,öğrencileri,anlattı,argument_structure,ditransitive
Şirket personeline yeni konular verdi.,Şirket personelini yeni konular verdi.,personeline,personelini,verdi,argument_structure,ditransitive
Yanlış reformlar halkı yoksulluğa mahkum etti.,Yanlış reformlar halkla yoksulluğa mahkum etti.,halkı,halkla,mahkum etti,argument_structure,ditransitive
Takı töreninde geline burma boncuk taktılar.,Takı töreninde gelini burma boncuk taktılar.,geline,gelini,taktılar,argument_structure,ditransitive
Doğum günüm diye kasiyer bana limonata ısmarladı.,Doğum günüm diye kasiyer beni limonata ısmarladı.,bana,beni,ısmarladı,argument_structure,ditransitive
Antrenör takıma farklı riskler öğretti.,Antrenör takımı farklı riskler öğretti.,takıma,takımı,öğretti,argument_structure,ditransitive
Kılçıklarını temizlediğiniz mezgiti galeta lezzetine bulayın.,Kılçıklarını temizlediğiniz mezgite galeta lezzetine bulayın.,mezgiti,mezgite,bulayın,argument_structure,ditransitive
Teyzem kitapları bebeklere dağıttı.,Teyzem kitaplara bebeklere dağıttı.,kitapları,kitaplara,dağıttı,argument_structure,ditransitive
Oğlum topu arkadaşına ödünç verdi.,Oğlum topla arkadaşına ödünç verdi.,topu,topla,ödünç verdi,argument_structure,ditransitive
Babam sonra parkta lise öğretmenime rastlamış.,Babam sonra parkı lise öğretmenime rastlamış.,parkta,parkı,rastlamış,argument_structure,ditransitive
Küçükken ekmeğimi hep salatanın suyuna banardım.,Küçükken ekmeğimde hep salatanın suyuna banardım.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Halam bana el orgu bir kazak hediye etti.,Halam beni el orgu bir kazak hediye etti.,bana,beni,hediye etti,argument_structure,ditransitive
Dün ekmeği ben aldığım için annem bakkala ailemi yolladı.,Dün ekmeği ben aldığım için annem bakkalda ailemi yolladı.,bakkala,bakkalda,yolladı,argument_structure,ditransitive
Gelin gerdanlığı kayınpederine hediye etti.,Gelin gerdanlığa kayınpederine hediye etti.,gerdanlığı,gerdanlığa,hediye etti,argument_structure,ditransitive
Dedem bana devrimci notlarını anlattı.,Dedem beni devrimci notlarını anlattı.,bana,beni,anlattı,argument_structure,ditransitive
Oğlum topu babana ödünç verdi.,Oğlum topla babana ödünç verdi.,topu,topla,ödünç verdi,argument_structure,ditransitive
Antrenör sporculara antrenman lisansı hazırladı.,Antrenör sporcuları antrenman lisansı hazırladı.,sporculara,sporcuları,hazırladı,argument_structure,ditransitive
Şair dinleyicilerine yeni müzik kitabını tanıttı.,Şair dinleyicilerini yeni müzik kitabını tanıttı.,dinleyicilerine,dinleyicilerini,tanıttı,argument_structure,ditransitive
Kız dostum kediyi veterinere götürdü.,Kız dostum kediye veterinere götürdü.,kediyi,kediye,götürdü,argument_structure,ditransitive
Görünüşe göre kız arkadaşına çikolatayı hiç düşünmeden verdi.,Görünüşe göre kız arkadaşından çikolatayı hiç düşünmeden verdi.,arkadaşına,arkadaşından,verdi,argument_structure,ditransitive
Bu ödülü düzen bozan erkeklere ithaf ediyorum.,Bu ödüle düzen bozan erkeklere ithaf ediyorum.,ödülü,ödüle,ithaf ediyorum,argument_structure,ditransitive
Küçük çocuk annesine vitrindeki arabayı gösterdi.,Küçük çocuk annesini vitrindeki arabayı gösterdi.,annesine,annesini,gösterdi,argument_structure,ditransitive
Kasap bana en güzel tavuklardan ayırdı.,Kasap beni en güzel tavuklardan ayırdı.,bana,benle,ayırdı,argument_structure,ditransitive
Dedem bana devrimci filmlerini anlattı.,Dedem beni devrimci filmlerini anlattı.,bana,beni,anlattı,argument_structure,ditransitive
Anne bebeğine sütü jelle verdi.,Anne bebeğini sütü jelle verdi.,bebeğine,bebeğini,verdi,argument_structure,ditransitive
Öğretmen öğrencilere notları zamanında yapmalarını nasihat etti.,Öğretmen öğrencileri notları zamanında yapmalarını nasihat etti.,öğrencilere,öğrencileri,nasihat etti,argument_structure,ditransitive
Ayakkabılarını çıkarıp şapkasını girişteki buzdolabına astı.,Ayakkabılarını çıkarıp şapkasına girişteki buzdolabına astı.,şapkasını,şapkasına,astı,argument_structure,ditransitive
Arkadaşım bana dans bileti aldı.,Arkadaşım beni dans bileti aldı.,bana,beni,aldı,argument_structure,ditransitive
Babam bugün parkta ilkokul öğretmenime rastlamış.,Babam bugün parkı ilkokul öğretmenime rastlamış.,parkta,parkı,rastlamış,argument_structure,ditransitive
Çocuk dedesine en sevdiği dergiyi verdi.,Çocuk dedesini en sevdiği dergiyi verdi.,dedesine,dedesini,verdi,argument_structure,ditransitive
Halam bana bere hediye etti.,Halam beni bere hediye etti.,bana,beni,hediye etti,argument_structure,ditransitive
Gelin gerdanlığı ablasına hediye etti.,Gelin gerdanlığa ablasına hediye etti.,gerdanlığı,gerdanlığa,hediye etti,argument_structure,ditransitive
Antrenör sporculara yeni metotlar öğretti.,Antrenör sporcuları yeni metotlar öğretti.,sporculara,sporcuları,öğretti,argument_structure,ditransitive
Yönetmen sanatçılara rollerini dağıttı.,Yönetmen sanatçıları rollerini dağıttı.,sanatçılara,sanatçıları,dağıttı,argument_structure,ditransitive
Üzerime koca bir bardak çayı döktüm.,Üzerimde koca bir bardak çayı döktüm.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Takı töreninde geline burma bilezik taktılar.,Takı töreninde gelini burma bilezik taktılar.,geline,gelini,taktılar,argument_structure,ditransitive
Kız kardeşim köpeği aileye götürdü.,Kız kardeşim köpeğe aileye götürdü.,köpeği,köpeğe,götürdü,argument_structure,ditransitive
Anlaşılıyor ki babam yeni saatini bana verdi.,Anlaşılıyor ki babam yeni saatine bana verdi.,saatini,saatine,verdi,argument_structure,ditransitive
Bu sergiyi neşesini kaybetmeyen kadınlara ithaf ediyorum.,Bu sergiye neşesini kaybetmeyen kadınlara ithaf ediyorum.,sergiyi,sergiye,ithaf ediyorum,argument_structure,ditransitive
Görünüşe göre arkadaşım bana son gelişmeleri anlattı.,Görünüşe göre arkadaşım beni son gelişmeleri anlattı.,bana,beni,anlattı,argument_structure,ditransitive
Oğlum topu dostuna ödünç verdi.,Oğlum topla dostuna ödünç verdi.,topu,topla,ödünç verdi,argument_structure,ditransitive
Kılçıklarını temizlediğiniz balığı pane etine bulayın.,Kılçıklarını temizlediğiniz balığa pane etine bulayın.,balığı,balığa,bulayın,argument_structure,ditransitive
Oğlum topu isine ödünç verdi.,Oğlum topla isine ödünç verdi.,topu,topla,ödünç verdi,argument_structure,ditransitive
Dün gece kızı apar topar acile götürdük.,Dün gece kıza apar topar acile götürdük.,kızı,kıza,götürdük,argument_structure,ditransitive
Oğlum bisikleti ailene ödünç verdi.,Oğlum bisikletle ailene ödünç verdi.,bisikleti,bisikletle,ödünç verdi,argument_structure,ditransitive
Takı töreninde damadın yakasına çeyrek altın taktılar.,Takı töreninde damadın yakasını çeyrek altın taktılar.,yakasına,yakasını,taktılar,argument_structure,ditransitive
Babam yeni saatini bana verdi.,Babam yeni saatine bana verdi.,saatini,saatine,verdi,argument_structure,ditransitive
Anlaşılan yıllardır kendini sadece sanatına adamış.,Anlaşılan yıllardır kendinden sadece sanatına adamış.,kendini,kendinden,adamış,argument_structure,ditransitive
Kılçıklarını temizlediğiniz mezgiti galeta derine bulayın.,Kılçıklarını temizlediğiniz mezgite galeta derine bulayın.,mezgiti,mezgite,bulayın,argument_structure,ditransitive
Üzerime koca bir fincan sigarayı döktüm.,Üzerimde koca bir fincan sigarayı döktüm.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Dileklerini yazdığı kağıdı bir ağacın dalına bağladı.,Dileklerini yazdığı kağıda bir ağacın dalına bağladı.,kağıdı,kağıda,bağladı,argument_structure,ditransitive
Kız arkadaşım kediyi veterinere götürdü.,Kız arkadaşım kediye veterinere götürdü.,kediyi,kediye,götürdü,argument_structure,ditransitive
Anlaşılıyor ki asistanı belgeleri masasına getirdi.,Anlaşılıyor ki asistanı belgelerle masasına getirdi.,belgeleri,belgelerle,getirdi,argument_structure,ditransitive
