good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
O halde yeni bir işe girdim.,O halde yeni bir işi girdim.,işe,işi,girdim,argument_structure,transitive
Demek ki yeni bir işe girdim.,Demek ki yeni bir işi girdim.,işe,işi,girdim,argument_structure,transitive
Şu halde yeni bir işe girdim.,Şu halde yeni bir işi girdim.,işe,işi,girdim,argument_structure,transitive
Yani yeni bir işe girdim.,Yani yeni bir işi girdim.,işe,işi,girdim,argument_structure,transitive
Ona koşulsuz direnç oluyorum.,Onu koşulsuz direnç oluyorum.,ona,onu,oluyorum,argument_structure,transitive
Ona koşulsuz fren oluyorum.,Onu koşulsuz fren oluyorum.,ona,onu,oluyorum,argument_structure,transitive
Ona koşulsuz teşvik oluyorum.,Onu koşulsuz teşvik oluyorum.,ona,onu,oluyorum,argument_structure,transitive
Ona koşulsuz tedavi oluyorum.,Onu koşulsuz tedavi oluyorum.,ona,onu,oluyorum,argument_structure,transitive
Ona koşulsuz katkı oluyorum.,Onu koşulsuz katkı oluyorum.,ona,onu,oluyorum,argument_structure,transitive
Ona koşulsuz kuvvet oluyorum.,Onu koşulsuz kuvvet oluyorum.,ona,onu,oluyorum,argument_structure,transitive
Ona koşulsuz ihtiyaç oluyorum.,Onu koşulsuz ihtiyaç oluyorum.,ona,onu,oluyorum,argument_structure,transitive
Ona koşulsuz yetersiz oluyorum.,Onu koşulsuz yetersiz oluyorum.,ona,onu,oluyorum,argument_structure,transitive
Ona koşulsuz engel oluyorum.,Onu koşulsuz engel oluyorum.,ona,onu,oluyorum,argument_structure,transitive
Bu projeye çok önem veriyoruz.,Bu projeyi çok önem veriyoruz.,projeye,projeyi,veriyoruz,argument_structure,transitive
Bu projeye çok işaret veriyoruz.,Bu projeyi çok işaret veriyoruz.,projeye,projeyi,veriyoruz,argument_structure,transitive
Bu projeye çok bilgi veriyoruz.,Bu projeyi çok bilgi veriyoruz.,projeye,projeyi,veriyoruz,argument_structure,transitive
Bu projeye çok risk veriyoruz.,Bu projeyi çok risk veriyoruz.,projeye,projeyi,veriyoruz,argument_structure,transitive
Bu projeye çok ilgi veriyoruz.,Bu projeyi çok ilgi veriyoruz.,projeye,projeyi,veriyoruz,argument_structure,transitive
Bu projeye çok haber veriyoruz.,Bu projeyi çok haber veriyoruz.,projeye,projeyi,veriyoruz,argument_structure,transitive
Bu projeye çok görev veriyoruz.,Bu projeyi çok görev veriyoruz.,projeye,projeyi,veriyoruz,argument_structure,transitive
Bu projeye çok vurgu veriyoruz.,Bu projeyi çok vurgu veriyoruz.,projeye,projeyi,veriyoruz,argument_structure,transitive
Bu projeye çok destek veriyoruz.,Bu projeyi çok destek veriyoruz.,projeye,projeyi,veriyoruz,argument_structure,transitive
Yani son duruma çok şaşırdım.,Yani son durumu çok şaşırdım.,duruma,durumu,şaşırdım,argument_structure,transitive
Öyle görünüyor ki son duruma çok şaşırdım.,Öyle görünüyor ki son durumu çok şaşırdım.,duruma,durumu,şaşırdım,argument_structure,transitive
Demek ki son duruma çok şaşırdım.,Demek ki son durumu çok şaşırdım.,duruma,durumu,şaşırdım,argument_structure,transitive
Şu halde son duruma çok şaşırdım.,Şu halde son durumu çok şaşırdım.,duruma,durumu,şaşırdım,argument_structure,transitive
Anlaşılıyor ki son duruma çok şaşırdım.,Anlaşılıyor ki son durumu çok şaşırdım.,duruma,durumu,şaşırdım,argument_structure,transitive
Anlaşılan son duruma çok şaşırdım.,Anlaşılan son durumu çok şaşırdım.,duruma,durumu,şaşırdım,argument_structure,transitive
Belli ki son duruma çok şaşırdım.,Belli ki son durumu çok şaşırdım.,duruma,durumu,şaşırdım,argument_structure,transitive
O halde son duruma çok şaşırdım.,O halde son durumu çok şaşırdım.,duruma,durumu,şaşırdım,argument_structure,transitive
Görünüşe göre son duruma çok şaşırdım.,Görünüşe göre son durumu çok şaşırdım.,duruma,durumu,şaşırdım,argument_structure,transitive
Sana her saat güveniyorum.,Seni her saat güveniyorum.,sana,seni,güveniyorum,argument_structure,transitive
Sana her tarih güveniyorum.,Seni her tarih güveniyorum.,sana,seni,güveniyorum,argument_structure,transitive
Sana her gün güveniyorum.,Seni her gün güveniyorum.,sana,seni,güveniyorum,argument_structure,transitive
Sana her olay güveniyorum.,Seni her olay güveniyorum.,sana,seni,güveniyorum,argument_structure,transitive
Sana her faktör güveniyorum.,Seni her faktör güveniyorum.,sana,seni,güveniyorum,argument_structure,transitive
Sana her say güveniyorum.,Seni her say güveniyorum.,sana,seni,güveniyorum,argument_structure,transitive
Sana her takvim güveniyorum.,Seni her takvim güveniyorum.,sana,seni,güveniyorum,argument_structure,transitive
Sana her done güveniyorum.,Seni her done güveniyorum.,sana,seni,güveniyorum,argument_structure,transitive
Anlaşılan sana her zaman güveniyorum.,Anlaşılan seni her zaman güveniyorum.,sana,seni,güveniyorum,argument_structure,transitive
Bu sınava gece çalıştım.,Bu sınavı gece çalıştım.,sınava,sınavı,çalıştım,argument_structure,transitive
Anlaşılan bu sınava günlerce çalıştım.,Anlaşılan bu sınavı günlerce çalıştım.,sınava,sınavı,çalıştım,argument_structure,transitive
Yani bu sınava günlerce çalıştım.,Yani bu sınavı günlerce çalıştım.,sınava,sınavı,çalıştım,argument_structure,transitive
O halde bu sınava günlerce çalıştım.,O halde bu sınavı günlerce çalıştım.,sınava,sınavı,çalıştım,argument_structure,transitive
Belli ki bu sınava günlerce çalıştım.,Belli ki bu sınavı günlerce çalıştım.,sınava,sınavı,çalıştım,argument_structure,transitive
Görünüşe göre bu sınava günlerce çalıştım.,Görünüşe göre bu sınavı günlerce çalıştım.,sınava,sınavı,çalıştım,argument_structure,transitive
Anlaşılıyor ki bu sınava günlerce çalıştım.,Anlaşılıyor ki bu sınavı günlerce çalıştım.,sınava,sınavı,çalıştım,argument_structure,transitive
Demek ki bu sınava günlerce çalıştım.,Demek ki bu sınavı günlerce çalıştım.,sınava,sınavı,çalıştım,argument_structure,transitive
Öyle görünüyor ki bu sınava günlerce çalıştım.,Öyle görünüyor ki bu sınavı günlerce çalıştım.,sınava,sınavı,çalıştım,argument_structure,transitive
Belli ki onun söylediklerine katılıyorum.,Belli ki onun söylediklerini katılıyorum.,söylediklerine,söylediklerini,katılıyorum,argument_structure,transitive
O halde onun söylediklerine katılıyorum.,O halde onun söylediklerini katılıyorum.,söylediklerine,söylediklerini,katılıyorum,argument_structure,transitive
Anlaşılıyor ki onun söylediklerine katılıyorum.,Anlaşılıyor ki onun söylediklerini katılıyorum.,söylediklerine,söylediklerini,katılıyorum,argument_structure,transitive
Şu halde onun söylediklerine katılıyorum.,Şu halde onun söylediklerini katılıyorum.,söylediklerine,söylediklerini,katılıyorum,argument_structure,transitive
Anlaşılan onun söylediklerine katılıyorum.,Anlaşılan onun söylediklerini katılıyorum.,söylediklerine,söylediklerini,katılıyorum,argument_structure,transitive
Demek ki onun söylediklerine katılıyorum.,Demek ki onun söylediklerini katılıyorum.,söylediklerine,söylediklerini,katılıyorum,argument_structure,transitive
Görünüşe göre onun söylediklerine katılıyorum.,Görünüşe göre onun söylediklerini katılıyorum.,söylediklerine,söylediklerini,katılıyorum,argument_structure,transitive
Öyle görünüyor ki onun söylediklerine katılıyorum.,Öyle görünüyor ki onun söylediklerini katılıyorum.,söylediklerine,söylediklerini,katılıyorum,argument_structure,transitive
Yani onun söylediklerine katılıyorum.,Yani onun söylediklerini katılıyorum.,söylediklerine,söylediklerini,katılıyorum,argument_structure,transitive
Demek ki şu değişikliklere oldum olası alışamadım.,Demek ki şu değişiklikleri oldum olası alışamadım.,değişikliklere,değişiklikleri,alışamadım,argument_structure,transitive
Öyle görünüyor ki şu değişikliklere oldum olası alışamadım.,Öyle görünüyor ki şu değişiklikleri oldum olası alışamadım.,değişikliklere,değişiklikleri,alışamadım,argument_structure,transitive
Görünüşe göre şu değişikliklere oldum olası alışamadım.,Görünüşe göre şu değişiklikleri oldum olası alışamadım.,değişikliklere,değişiklikleri,alışamadım,argument_structure,transitive
O halde şu değişikliklere oldum olası alışamadım.,O halde şu değişiklikleri oldum olası alışamadım.,değişikliklere,değişiklikleri,alışamadım,argument_structure,transitive
Şu halde şu değişikliklere oldum olası alışamadım.,Şu halde şu değişiklikleri oldum olası alışamadım.,değişikliklere,değişiklikleri,alışamadım,argument_structure,transitive
Anlaşılıyor ki şu değişikliklere oldum olası alışamadım.,Anlaşılıyor ki şu değişiklikleri oldum olası alışamadım.,değişikliklere,değişiklikleri,alışamadım,argument_structure,transitive
Anlaşılan şu değişikliklere oldum olası alışamadım.,Anlaşılan şu değişiklikleri oldum olası alışamadım.,değişikliklere,değişiklikleri,alışamadım,argument_structure,transitive
Belli ki şu değişikliklere oldum olası alışamadım.,Belli ki şu değişiklikleri oldum olası alışamadım.,değişikliklere,değişiklikleri,alışamadım,argument_structure,transitive
Yani şu değişikliklere oldum olası alışamadım.,Yani şu değişiklikleri oldum olası alışamadım.,değişikliklere,değişiklikleri,alışamadım,argument_structure,transitive
Annemin sözlerine göz verdim.,Annemin sözlerini göz verdim.,sözlerine,sözlerini,verdim,argument_structure,transitive
Annemin sözlerine boğaz verdim.,Annemin sözlerini boğaz verdim.,sözlerine,sözlerini,verdim,argument_structure,transitive
Annemin sözlerine tıp verdim.,Annemin sözlerini tıp verdim.,sözlerine,sözlerini,verdim,argument_structure,transitive
Annemin sözlerine buru verdim.,Annemin sözlerini buru verdim.,sözlerine,sözlerini,verdim,argument_structure,transitive
Annemin sözlerine bey verdim.,Annemin sözlerini bey verdim.,sözlerine,sözlerini,verdim,argument_structure,transitive
Annemin sözlerine omurilik verdim.,Annemin sözlerini omurilik verdim.,sözlerine,sözlerini,verdim,argument_structure,transitive
Annemin sözlerine ge verdim.,Annemin sözlerini ge verdim.,sözlerine,sözlerini,verdim,argument_structure,transitive
Annemin sözlerine boy verdim.,Annemin sözlerini boy verdim.,sözlerine,sözlerini,verdim,argument_structure,transitive
Annemin sözlerine kalp verdim.,Annemin sözlerini kalp verdim.,sözlerine,sözlerini,verdim,argument_structure,transitive
Konferansa katılmaya karar verdim.,Konferansı katılmayı karar verdim.,katılmaya,katılmayı,karar verdim,argument_structure,transitive
Anlaşılıyor ki konferansa katılmaya karar verdim.,Anlaşılıyor ki konferansı katılmayı karar verdim.,katılmaya,katılmayı,karar verdim,argument_structure,transitive
Anlaşılan konferansa katılmaya karar verdim.,Anlaşılan konferansı katılmayı karar verdim.,katılmaya,katılmayı,karar verdim,argument_structure,transitive
Şu halde konferansa katılmaya karar verdim.,Şu halde konferansı katılmayı karar verdim.,katılmaya,katılmayı,karar verdim,argument_structure,transitive
Öyle görünüyor ki konferansa katılmaya karar verdim.,Öyle görünüyor ki konferansı katılmayı karar verdim.,katılmaya,katılmayı,karar verdim,argument_structure,transitive
Belli ki konferansa katılmaya karar verdim.,Belli ki konferansı katılmayı karar verdim.,katılmaya,katılmayı,karar verdim,argument_structure,transitive
Yani konferansa katılmaya karar verdim.,Yani konferansı katılmayı karar verdim.,katılmaya,katılmayı,karar verdim,argument_structure,transitive
Demek ki konferansa katılmaya karar verdim.,Demek ki konferansı katılmayı karar verdim.,katılmaya,katılmayı,karar verdim,argument_structure,transitive
O halde konferansa katılmaya karar verdim.,O halde konferansı katılmayı karar verdim.,katılmaya,katılmayı,karar verdim,argument_structure,transitive
Görünüşe göre oyunlara fazla kapılmamalısın.,Görünüşe göre oyunları fazla kapılmamalısın.,oyunlara,oyunları,kapılmamalısın,argument_structure,transitive
Şu halde oyunlara fazla kapılmamalısın.,Şu halde oyunları fazla kapılmamalısın.,oyunlara,oyunları,kapılmamalısın,argument_structure,transitive
Anlaşılıyor ki oyunlara fazla kapılmamalısın.,Anlaşılıyor ki oyunları fazla kapılmamalısın.,oyunlara,oyunları,kapılmamalısın,argument_structure,transitive
Demek ki oyunlara fazla kapılmamalısın.,Demek ki oyunları fazla kapılmamalısın.,oyunlara,oyunları,kapılmamalısın,argument_structure,transitive
Belli ki oyunlara fazla kapılmamalısın.,Belli ki oyunları fazla kapılmamalısın.,oyunlara,oyunları,kapılmamalısın,argument_structure,transitive
O halde oyunlara fazla kapılmamalısın.,O halde oyunları fazla kapılmamalısın.,oyunlara,oyunları,kapılmamalısın,argument_structure,transitive
Anlaşılan oyunlara fazla kapılmamalısın.,Anlaşılan oyunları fazla kapılmamalısın.,oyunlara,oyunları,kapılmamalısın,argument_structure,transitive
Yani oyunlara fazla kapılmamalısın.,Yani oyunları fazla kapılmamalısın.,oyunlara,oyunları,kapılmamalısın,argument_structure,transitive
Öyle görünüyor ki oyunlara fazla kapılmamalısın.,Öyle görünüyor ki oyunları fazla kapılmamalısın.,oyunlara,oyunları,kapılmamalısın,argument_structure,transitive
Dün yaptıklarından sonra sana çok kırıldım.,Dün yaptıklarından sonra seni çok kırıldım.,sana,seni,kırıldım,argument_structure,transitive
Şu halde dün yaptıklarından sonra sana çok kırıldım.,Şu halde dün yaptıklarından sonra seni çok kırıldım.,sana,seni,kırıldım,argument_structure,transitive
Belli ki dün yaptıklarından sonra sana çok kırıldım.,Belli ki dün yaptıklarından sonra seni çok kırıldım.,sana,seni,kırıldım,argument_structure,transitive
Yani dün yaptıklarından sonra sana çok kırıldım.,Yani dün yaptıklarından sonra seni çok kırıldım.,sana,seni,kırıldım,argument_structure,transitive
Öyle görünüyor ki dün yaptıklarından sonra sana çok kırıldım.,Öyle görünüyor ki dün yaptıklarından sonra seni çok kırıldım.,sana,seni,kırıldım,argument_structure,transitive
Demek ki dün yaptıklarından sonra sana çok kırıldım.,Demek ki dün yaptıklarından sonra seni çok kırıldım.,sana,seni,kırıldım,argument_structure,transitive
O halde dün yaptıklarından sonra sana çok kırıldım.,O halde dün yaptıklarından sonra seni çok kırıldım.,sana,seni,kırıldım,argument_structure,transitive
Anlaşılıyor ki dün yaptıklarından sonra sana çok kırıldım.,Anlaşılıyor ki dün yaptıklarından sonra seni çok kırıldım.,sana,seni,kırıldım,argument_structure,transitive
Anlaşılan dün yaptıklarından sonra sana çok kırıldım.,Anlaşılan dün yaptıklarından sonra seni çok kırıldım.,sana,seni,kırıldım,argument_structure,transitive
Etkinliğe katılmayı düşünüyorlar.,Etkinliğe katılmaya düşünüyorlar.,katılmayı,katılmaya,düşünüyorlar,argument_structure,transitive
Anlaşılan etkinliğe katılmayı düşünüyorlar.,Anlaşılan etkinliğe katılmaya düşünüyorlar.,katılmayı,katılmaya,düşünüyorlar,argument_structure,transitive
Anlaşılıyor ki etkinliğe katılmayı düşünüyorlar.,Anlaşılıyor ki etkinliğe katılmaya düşünüyorlar.,katılmayı,katılmaya,düşünüyorlar,argument_structure,transitive
Demek ki etkinliğe katılmayı düşünüyorlar.,Demek ki etkinliğe katılmaya düşünüyorlar.,katılmayı,katılmaya,düşünüyorlar,argument_structure,transitive
O halde etkinliğe katılmayı düşünüyorlar.,O halde etkinliğe katılmaya düşünüyorlar.,katılmayı,katılmaya,düşünüyorlar,argument_structure,transitive
Şu halde etkinliğe katılmayı düşünüyorlar.,Şu halde etkinliğe katılmaya düşünüyorlar.,katılmayı,katılmaya,düşünüyorlar,argument_structure,transitive
Yani etkinliğe katılmayı düşünüyorlar.,Yani etkinliğe katılmaya düşünüyorlar.,katılmayı,katılmaya,düşünüyorlar,argument_structure,transitive
Görünüşe göre etkinliğe katılmayı düşünüyorlar.,Görünüşe göre etkinliğe katılmaya düşünüyorlar.,katılmayı,katılmaya,düşünüyorlar,argument_structure,transitive
Belli ki etkinliğe katılmayı düşünüyorlar.,Belli ki etkinliğe katılmaya düşünüyorlar.,katılmayı,katılmaya,düşünüyorlar,argument_structure,transitive
Gözden kaçan hataya çok üzüldüm.,Gözden kaçan hatayı çok üzüldüm.,hataya,hatayı,üzüldüm,argument_structure,transitive
Öyle görünüyor ki gözden kaçan hataya çok üzüldüm.,Öyle görünüyor ki gözden kaçan hatayı çok üzüldüm.,hataya,hatayı,üzüldüm,argument_structure,transitive
Demek ki gözden kaçan hataya çok üzüldüm.,Demek ki gözden kaçan hatayı çok üzüldüm.,hataya,hatayı,üzüldüm,argument_structure,transitive
Şu halde gözden kaçan hataya çok üzüldüm.,Şu halde gözden kaçan hatayı çok üzüldüm.,hataya,hatayı,üzüldüm,argument_structure,transitive
Belli ki gözden kaçan hataya çok üzüldüm.,Belli ki gözden kaçan hatayı çok üzüldüm.,hataya,hatayı,üzüldüm,argument_structure,transitive
Anlaşılıyor ki gözden kaçan hataya çok üzüldüm.,Anlaşılıyor ki gözden kaçan hatayı çok üzüldüm.,hataya,hatayı,üzüldüm,argument_structure,transitive
Anlaşılan gözden kaçan hataya çok üzüldüm.,Anlaşılan gözden kaçan hatayı çok üzüldüm.,hataya,hatayı,üzüldüm,argument_structure,transitive
O halde gözden kaçan hataya çok üzüldüm.,O halde gözden kaçan hatayı çok üzüldüm.,hataya,hatayı,üzüldüm,argument_structure,transitive
Yani gözden kaçan hataya çok üzüldüm.,Yani gözden kaçan hatayı çok üzüldüm.,hataya,hatayı,üzüldüm,argument_structure,transitive
Öyle görünüyor ki tartışmaya girmeyi sevmem.,Öyle görünüyor ki tartışmaya girmeye sevmem.,girmeyi,girmeye,sevmem,argument_structure,transitive
Şu halde tartışmaya girmeyi sevmem.,Şu halde tartışmaya girmeye sevmem.,girmeyi,girmeye,sevmem,argument_structure,transitive
Anlaşılıyor ki tartışmaya girmeyi sevmem.,Anlaşılıyor ki tartışmaya girmeye sevmem.,girmeyi,girmeye,sevmem,argument_structure,transitive
Görünüşe göre tartışmaya girmeyi sevmem.,Görünüşe göre tartışmaya girmeye sevmem.,girmeyi,girmeye,sevmem,argument_structure,transitive
O halde tartışmaya girmeyi sevmem.,O halde tartışmaya girmeye sevmem.,girmeyi,girmeye,sevmem,argument_structure,transitive
Anlaşılan tartışmaya girmeyi sevmem.,Anlaşılan tartışmaya girmeye sevmem.,girmeyi,girmeye,sevmem,argument_structure,transitive
Belli ki tartışmaya girmeyi sevmem.,Belli ki tartışmaya girmeye sevmem.,girmeyi,girmeye,sevmem,argument_structure,transitive
Yani tartışmaya girmeyi sevmem.,Yani tartışmaya girmeye sevmem.,girmeyi,girmeye,sevmem,argument_structure,transitive
Demek ki tartışmaya girmeyi sevmem.,Demek ki tartışmaya girmeye sevmem.,girmeyi,girmeye,sevmem,argument_structure,transitive
Seni buralarda görmeye son yerlerde iyice alıştım.,Seni buralarda görmeyi son yerlerde iyice alıştım.,görmeye,görmeyi,alıştım,argument_structure,transitive
Seni buralarda görmeye son durumlarda iyice alıştım.,Seni buralarda görmeyi son durumlarda iyice alıştım.,görmeye,görmeyi,alıştım,argument_structure,transitive
Seni buralarda görmeye son günlerde iyice alıştım.,Seni buralarda görmeyi son günlerde iyice alıştım.,görmeye,görmeyi,alıştım,argument_structure,transitive
Seni buralarda görmeye son saatlerde iyice alıştım.,Seni buralarda görmeyi son saatlerde iyice alıştım.,görmeye,görmeyi,alıştım,argument_structure,transitive
Seni buralarda görmeye son zamanlarda iyice alıştım.,Seni buralarda görmeyi son zamanlarda iyice alıştım.,görmeye,görmeyi,alıştım,argument_structure,transitive
Seni buralarda görmeye son haftalarda iyice alıştım.,Seni buralarda görmeyi son haftalarda iyice alıştım.,görmeye,görmeyi,alıştım,argument_structure,transitive
Seni buralarda görmeye son mevsimlerde iyice alıştım.,Seni buralarda görmeyi son mevsimlerde iyice alıştım.,görmeye,görmeyi,alıştım,argument_structure,transitive
Seni buralarda görmeye son aylarda iyice alıştım.,Seni buralarda görmeyi son aylarda iyice alıştım.,görmeye,görmeyi,alıştım,argument_structure,transitive
Seni buralarda görmeye son hareketlerde iyice alıştım.,Seni buralarda görmeyi son hareketlerde iyice alıştım.,görmeye,görmeyi,alıştım,argument_structure,transitive
Zorlu bir projeden sonra elde ettiğin bu başarıya sevindim.,Zorlu bir projeden sonra elde ettiğin bu başarıyı sevindim.,başarıya,başarıyı,sevindim,argument_structure,transitive
Zorlu bir durumdan sonra elde ettiğin bu başarıya sevindim.,Zorlu bir durumdan sonra elde ettiğin bu başarıyı sevindim.,başarıya,başarıyı,sevindim,argument_structure,transitive
Zorlu bir hareketten sonra elde ettiğin bu başarıya sevindim.,Zorlu bir hareketten sonra elde ettiğin bu başarıyı sevindim.,başarıya,başarıyı,sevindim,argument_structure,transitive
Zorlu bir sistemden sonra elde ettiğin bu başarıya sevindim.,Zorlu bir sistemden sonra elde ettiğin bu başarıyı sevindim.,başarıya,başarıyı,sevindim,argument_structure,transitive
Zorlu bir gelecekten sonra elde ettiğin bu başarıya sevindim.,Zorlu bir gelecekten sonra elde ettiğin bu başarıyı sevindim.,başarıya,başarıyı,sevindim,argument_structure,transitive
Zorlu bir isten sonra elde ettiğin bu başarıya sevindim.,Zorlu bir isten sonra elde ettiğin bu başarıyı sevindim.,başarıya,başarıyı,sevindim,argument_structure,transitive
Zorlu bir olaydan sonra elde ettiğin bu başarıya sevindim.,Zorlu bir olaydan sonra elde ettiğin bu başarıyı sevindim.,başarıya,başarıyı,sevindim,argument_structure,transitive
Zorlu bir kontrolden sonra elde ettiğin bu başarıya sevindim.,Zorlu bir kontrolden sonra elde ettiğin bu başarıyı sevindim.,başarıya,başarıyı,sevindim,argument_structure,transitive
Zorlu bir yapıdan sonra elde ettiğin bu başarıya sevindim.,Zorlu bir yapıdan sonra elde ettiğin bu başarıyı sevindim.,başarıya,başarıyı,sevindim,argument_structure,transitive
Eda yeni elbisesine resmen hayran kaldı.,Eda yeni elbisesini resmen hayran kaldı.,elbisesine,elbisesini,hayran kaldı,argument_structure,transitive
Anlaşılan eda yeni elbisesine resmen hayran kaldı.,Anlaşılan eda yeni elbisesini resmen hayran kaldı.,elbisesine,elbisesini,hayran kaldı,argument_structure,transitive
Görünüşe göre eda yeni elbisesine resmen hayran kaldı.,Görünüşe göre eda yeni elbisesini resmen hayran kaldı.,elbisesine,elbisesini,hayran kaldı,argument_structure,transitive
Demek ki eda yeni elbisesine resmen hayran kaldı.,Demek ki eda yeni elbisesini resmen hayran kaldı.,elbisesine,elbisesini,hayran kaldı,argument_structure,transitive
Yani eda yeni elbisesine resmen hayran kaldı.,Yani eda yeni elbisesini resmen hayran kaldı.,elbisesine,elbisesini,hayran kaldı,argument_structure,transitive
Belli ki eda yeni elbisesine resmen hayran kaldı.,Belli ki eda yeni elbisesini resmen hayran kaldı.,elbisesine,elbisesini,hayran kaldı,argument_structure,transitive
Anlaşılıyor ki eda yeni elbisesine resmen hayran kaldı.,Anlaşılıyor ki eda yeni elbisesini resmen hayran kaldı.,elbisesine,elbisesini,hayran kaldı,argument_structure,transitive
Şu halde eda yeni elbisesine resmen hayran kaldı.,Şu halde eda yeni elbisesini resmen hayran kaldı.,elbisesine,elbisesini,hayran kaldı,argument_structure,transitive
O halde eda yeni elbisesine resmen hayran kaldı.,O halde eda yeni elbisesini resmen hayran kaldı.,elbisesine,elbisesini,hayran kaldı,argument_structure,transitive
İnternette her gördüğün habere körü koruna inanma.,İnternette her gördüğün haberi körü koruna inanma.,habere,haberi,inanma,argument_structure,transitive
İnternette her gördüğün habere körü tersine inanma.,İnternette her gördüğün haberi körü tersine inanma.,habere,haberi,inanma,argument_structure,transitive
İnternette her gördüğün habere körü körüne inanma.,İnternette her gördüğün haberi körü körüne inanma.,habere,haberi,inanma,argument_structure,transitive
İnternette her gördüğün habere koru körüne inanma.,İnternette her gördüğün haberi koru körüne inanma.,habere,haberi,inanma,argument_structure,transitive
Yani i̇nternette her gördüğün habere körü körüne inanma.,Yani i̇nternette her gördüğün haberi körü körüne inanma.,habere,haberi,inanma,argument_structure,transitive
O halde i̇nternette her gördüğün habere körü körüne inanma.,O halde i̇nternette her gördüğün haberi körü körüne inanma.,habere,haberi,inanma,argument_structure,transitive
Belli ki i̇nternette her gördüğün habere körü körüne inanma.,Belli ki i̇nternette her gördüğün haberi körü körüne inanma.,habere,haberi,inanma,argument_structure,transitive
Anlaşılıyor ki i̇nternette her gördüğün habere körü körüne inanma.,Anlaşılıyor ki i̇nternette her gördüğün haberi körü körüne inanma.,habere,haberi,inanma,argument_structure,transitive
Öyle görünüyor ki i̇nternette her gördüğün habere körü körüne inanma.,Öyle görünüyor ki i̇nternette her gördüğün haberi körü körüne inanma.,habere,haberi,inanma,argument_structure,transitive
Eşimin kararlarına çok güvenirim.,Eşimin kararlarını çok güvenirim.,kararlarına,kararlarını,güvenirim,argument_structure,transitive
Öyle görünüyor ki eşimin kararlarına çok güvenirim.,Öyle görünüyor ki eşimin kararlarını çok güvenirim.,kararlarına,kararlarını,güvenirim,argument_structure,transitive
Belli ki eşimin kararlarına çok güvenirim.,Belli ki eşimin kararlarını çok güvenirim.,kararlarına,kararlarını,güvenirim,argument_structure,transitive
Demek ki eşimin kararlarına çok güvenirim.,Demek ki eşimin kararlarını çok güvenirim.,kararlarına,kararlarını,güvenirim,argument_structure,transitive
Anlaşılan eşimin kararlarına çok güvenirim.,Anlaşılan eşimin kararlarını çok güvenirim.,kararlarına,kararlarını,güvenirim,argument_structure,transitive
Yani eşimin kararlarına çok güvenirim.,Yani eşimin kararlarını çok güvenirim.,kararlarına,kararlarını,güvenirim,argument_structure,transitive
Şu halde eşimin kararlarına çok güvenirim.,Şu halde eşimin kararlarını çok güvenirim.,kararlarına,kararlarını,güvenirim,argument_structure,transitive
Anlaşılıyor ki eşimin kararlarına çok güvenirim.,Anlaşılıyor ki eşimin kararlarını çok güvenirim.,kararlarına,kararlarını,güvenirim,argument_structure,transitive
O halde eşimin kararlarına çok güvenirim.,O halde eşimin kararlarını çok güvenirim.,kararlarına,kararlarını,güvenirim,argument_structure,transitive
Anlaşılıyor ki ben artık ona sadece gülüyorum.,Anlaşılıyor ki ben artık onu sadece gülüyorum.,ona,onu,gülüyorum,argument_structure,transitive
Belli ki ben artık ona sadece gülüyorum.,Belli ki ben artık onu sadece gülüyorum.,ona,onu,gülüyorum,argument_structure,transitive
Yani ben artık ona sadece gülüyorum.,Yani ben artık onu sadece gülüyorum.,ona,onu,gülüyorum,argument_structure,transitive
Demek ki ben artık ona sadece gülüyorum.,Demek ki ben artık onu sadece gülüyorum.,ona,onu,gülüyorum,argument_structure,transitive
Şu halde ben artık ona sadece gülüyorum.,Şu halde ben artık onu sadece gülüyorum.,ona,onu,gülüyorum,argument_structure,transitive
Öyle görünüyor ki ben artık ona sadece gülüyorum.,Öyle görünüyor ki ben artık onu sadece gülüyorum.,ona,onu,gülüyorum,argument_structure,transitive
Anlaşılan ben artık ona sadece gülüyorum.,Anlaşılan ben artık onu sadece gülüyorum.,ona,onu,gülüyorum,argument_structure,transitive
O halde ben artık ona sadece gülüyorum.,O halde ben artık onu sadece gülüyorum.,ona,onu,gülüyorum,argument_structure,transitive
Görünüşe göre ben artık ona sadece gülüyorum.,Görünüşe göre ben artık onu sadece gülüyorum.,ona,onu,gülüyorum,argument_structure,transitive
Doktor bey yaşlı hastayla özel olarak ilgileniyor.,Doktor bey yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Doktor hani yaşlı hastayla özel olarak ilgileniyor.,Doktor hani yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Doktor albay yaşlı hastayla özel olarak ilgileniyor.,Doktor albay yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Doktor ada yaşlı hastayla özel olarak ilgileniyor.,Doktor ada yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Doktor pas yaşlı hastayla özel olarak ilgileniyor.,Doktor pas yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
